key,ko,en,id,vi
myAccount--SecondPassword--modal-header-title,잠깐 !!!!,Wait a minute!!!!,Tunggu sebentar!!!!,Chờ một chút!!!!
myAccount--SecondPassword--modal-warning,사칭사기에 주의하세요.,Be careful of impostor fraud.,Hati-hati dengan penipuan,Cẩn thận với lừa đảo giả mạo
myAccount--SecondPassword--modal-passwordTitle,결제 비밀번호,Payment password,Kata sandi pembayaran,Mật khẩu thanh toán
transaction_types_payment,결제,payment,Pembayaran,Thanh toán
transaction_types_transfser,송금,transfer,Transfer,Chuyển khoản
transaction_types_deposit,충전,deposit,Setoran,Nạp tiền
transaction_types_refund,환불,refund,Pengembalian,Hoàn tiền
transaction_types_exchange,환전,exchange,penukaran uang,sự đổi tiền
transaction_types_reExchange,환급,re-exchange,Tukar ulang,Đổi lại
histories--transactionHistory,이용 내역,Details of use,Riwayat Penggunaan,Lịch sử sử dụng
histories--accountType,계좌 종류,Account Type,Jenis Akun,Loại tài khoản
histories--searchDetail,상세 내용 검색,Search for details,Cari Rincian,Tìm kiếm chi tiết
histories--startDate,시작 날짜,Start Date,Tanggal Mulai,Ngày bắt đầu
histories--endDate,끝 날짜,Last Date,Tanggal Akhir,Ngày kết thúc
histories--transactionType,거래 유형,Type of transaction,Jenis Transaksi,Loại giao dịch
histories--transactionStatus,거래 상태,Transaction Status,Status Transaksi,Trạng thái giao dịch
histories--completed,완료,Completion,Selesai,Hoàn thành
histories--canceled,취소,Cancellation,Pembatalan,Hủy bỏ
histories--inProgress,처리중,Processing in progress,Proses Berlangsung,Đang xử lý
histories--ongoing,진행 중,Ongoing,Berlangsung,Đang diễn ra
histories--apply,적용,Application,Aplikasi,Ứng dụng
histories--header-dateTime,날짜/시간,Date/Time,Tanggal/Waktu,Ngày/Giờ
histories--header-transactionType,거래 유형,Type of Transaction,Jenis Transaksi,Loại giao dịch
histories--header-transactionDetail,거래 상세,Transaction Details,Rincian Transaksi,Chi tiết giao dịch
histories--header-transactionAmount,거래 금액,Transaction Amount,Jumlah Transaksi,Số tiền giao dịch
histories--header-transactionDetail,거래 상세 보기,Details,Rincian,Chi tiết
histories--modal-exchangeRate,환율,Exchange Rate,Nilai Tukar,Tỷ giá
histories--modal-historyDate,결제 일시,Payment Date and Time,Tanggal dan Waktu Pembayaran,Ngày và giờ thanh toán
histories--modal-stateCode,거래 상태,Transaction Status,Status Transaksi,Trạng thái giao dịch
histories--modal-memo,메모,Memo,Memo,Ghi chú
histories--modal-enterMemo,메모를 입력하세요,Please enter a note.,Masukkan Catatan,Vui lòng nhập ghi chú
histories--modal-button-close,닫기,Close,Tutup,Đóng
histories--modal-button-save,저장,Save,Simpan,Lưu
exchangeRate--header-title,환율 비교,Compare Exchange Rate,Bandingkan Nilai Tukar,So sánh tỷ giá
exchangeRate--label-ForeignAmount,USD,USD Amount,IDR,VND
exchangeRate--label-krwAmount,KRW,KRW Amount,KRW,KRW
exchangeRate--button-buy,사기,Buy,Beli,Mua
exchangeRate--button-sell,팔기,Sell,Jual,Bán
exchangeRate--notification-setAlert,환율 알람 설정,Set an alert for exchange rates,Atur peringatan nilai tukar,Đặt cảnh báo tỷ giá
exchangeRate--autoSettings-label-autoCondition,자동 환전,Auto Exchange,Kondisi Otomatis,Điều kiện tự động
exchangeRate--autoSettings-label-targetRate1,목표 환율 1,Target Rate 1,Target Nilai Tukar 1,Tỷ giá mục tiêu 1
exchangeRate--autoSettings-label-targetRate2,목표 환율 2,Target Rate 2,Target Nilai Tukar 2,Tỷ giá mục tiêu 2
exchangeRate--SetAlert--header-receiveAlert,환율 알림 받기,Get Exchange Rate Notifications,Dapatkan Pemberitahuan Nilai Tukar,Nhận thông báo tỷ giá
exchangeRate--SetAlert--label-ForeignToKrwAlert,1 USD =,1 USD =,1 IDR =,1 vnd =
exchangeRate--SetAlert--button-confirmAlert,확인,Check,Periksa,Kiểm tra
exchangeRate--SetAlert--header-autoExchange,자동 환전 설정,Automatic currency exchange settings,Pengaturan konversi mata uang otomatis,Cài đặt chuyển đổi tiền tệ tự động
exchangeRate--SetAlert--label-targetRate,목표 환율,Target exchange rate,Nilai tukar target,Tỷ giá mục tiêu
exchangeRate--SetAlert--placeholder-targetRate,목표 환율을 입력하세요.,Please enter the target exchange rate.,Masukkan nilai tukar target.,Vui lòng nhập tỷ giá mục tiêu.
exchangeRate--SetAlert--label-targetAmount,자동 전환할 금액,Amount to exchange automatically,Jumlah untuk dikonversi secara otomatis,Số tiền tự động chuyển đổi
exchangeRate--SetAlert--placeholder-targetAmount,자동 환전할 금액을 입력하세요.,Please enter the amount to exchange automatically.,Masukkan jumlah yang akan dikonversi secara otomatis.,Vui lòng nhập số tiền cần chuyển đổi tự động.
histories--filters-period-today,오늘,,,
histories--filters-period-oneMonth,1개월,,,
histories--filters-period-threeMonth,3개월,,,
histories--filters-period-custom,직접설정,,,
histories--filters-type-all,전체,,,
histories--filters-type-wone,won-e,,,
histories--filters-type-songe,song-e,,,
histories--filters-sort-newest,최신순,,,
histories--filters-sort-oldest,과거순,,,
histories--searchQuery,검색어를 입력하세요.,,,
histories--filter-modal-title,필터링 옵션,,,
payment--passwordInput--title,비밀번호 입력,Enter Password,Masukkan Kata Sandi,Nhập mật khẩu
payment--passwordInput--instruction,6자리 비밀번호를 입력해주세요,Please enter a 6-digit password,Masukkan kata sandi 6 digit,Vui lòng nhập mật khẩu 6 chữ số
payment--passwordInput--submit,제출,Submit,Kirim,Gửi
payment--message-desktop,모바일 환경에서 접속해 주세요.,Our payment system is only available in a mobile environment.,Sistem pembayaran kami hanya tersedia di lingkungan seluler.,Hệ thống thanh toán của chúng tôi chỉ có sẵn trong môi trường di động.
payment--button-pay,결제하기,Pay,Bayar,Thanh toán
payment--qrScan--button-submit,확인,Confirm,Konfirmasi,Xác nhận
payment--qrScan--imageAlt,QR 코드,QR Code,Kode QR,Mã QR
payment--qrScan--balanceLabel,보유잔액,Balance,Saldo,Số dư
payment--swal-password-wrong-title,다시 입력하세요,,,
payment--swal-password-wrong-text,비밀번호가 틀렸습니다.,,,
